,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
0,11,Manufacturing,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTE. LTD.,Full Time,Closing on 16 Feb 2019,West,Posted 17 Jan 2019,"Masters or Degree in Chemical, Biochemical Engineering or Engineering related discipline
Minimum 8 years of experience in biopharmaceutical and cGMP related industries
Extensive technical knowledge in biotechnology and production
Ability to work with internal and external team members and vendors from different functions
Ability to work under pressure, assert oneself, fast decision making skills and high flexibility","$10,500","$7,000",Monthly,Executive,Senior Process Engineer
1,64,Manufacturing,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTE. LTD.,Full Time,Closing on 16 Feb 2019,West,Posted 17 Jan 2019,"Masters or Degree in Pharmacy, Biotechnology, or Chemistry
Minimum 2 years’ experience in GMP-regulated industries in Quality Control
Able to work cross-functionally with good interpersonal skills","$5,250","$3,500",Monthly,"Executive, Non-executive","Chemist, In-Process Control"
2,10,Manufacturing,NOVARTIS SINGAPORE PHARMACEUTICAL MANUFACTURING PTE. LTD.,"Permanent, Full Time",Closing on 16 Feb 2019,West,Posted 17 Jan 2019,"Master or Degree in Pharmacy, Biotechnology or Chemist
Minimum 6 years of related experience in GMP-regulated industries in Quality Control
Must have a working knowledge of FDA and ex-USA regulatory requirements as well as industry quality management tools, standard and quality systems
Must have an understanding of pharmaceutical industry trends and practices
Broad cGMP experience is required with knowledge and understanding of manufacturing, quality control and validation requirements and activities
Willing to work weekend shifts","$8,100","$5,400",Monthly,Senior Executive,"Senior QC Chemist, In-Process Control"
3,1,Healthcare / Pharmaceutical,THYE HUA KWAN NURSING HOME LIMITED,Permanent,Closing on 16 Feb 2019,North,Posted 17 Jan 2019,"~
Requirements :
Degree/Diploma in Physiotherapy
Min 3 - 5 years of relevant experience
Registered with AHPC
Independent and able to perform under pressure
Location : Hougang 
Interested candidates, please indicate your current/last drawn salary and expected salary in your CV. We regret that only shortlisted candidates will be notified.",,,,Professional,Physiotherapist
4,1,Healthcare / Pharmaceutical,THYE HUA KWAN NURSING HOME LIMITED,Permanent,Closing on 16 Feb 2019,North,Posted 17 Jan 2019,"Job Requirements :
Bachelor degree / Diploma in Occupational Therapy
Min 3 - 5 years of relevant experience
Registered with AHPC
Independent and able to perform under pressure
Location : Hougang
Interested candidates, please indicate your current/last drawn salary and expected salary in your CV. We regret that only shortlisted candidates will be notified. Thank you.",,,,Professional,Occupational Therapist
5,13,Admin / Secretarial,TRUSTY CARS PTE. LTD.,Full Time,Closing on 16 Feb 2019,North,Posted 17 Jan 2019,"  - Min Qualification: Diploma Holder
- Proficient in English and Mandarin (as some customers can only converse in Mandarin)
- Highly responsible & organized
- Meticulous & good with numbers/ figures
- Some relevant experience preferred

  Only applications received here will be considered: https://goo.gl/forms/ddk31eps2bAf33HE2
 ","$3,000","$2,200",Monthly,Non-executive,Loans Admin Officer
6,5,Information Technology,EIRE SYSTEMS SINGAPORE PTE. LTD.,Full Time,Closing on 16 Feb 2019,East,Posted 17 Jan 2019,"  Minimum of 6 years of experience in an Enterprise Network environment
CCIE preferred
LAN architectures (e.g. Ethernet, Fast Ethernet, GIG Ethernet, TenGig)
Switching protocols (e.g. Spanning-tree, VTP, HSRP, Trunking)
WAN technologies (e.g. MPLS, IPLC)
Routing protocols (e.g. EIGRP, BGP)
Experience in Cisco products is essential (e.g Cat3560X, Cat4948, Cat4500X, Cat6509, Nexus 2K/5K/7K, ISR G1/G2, ASR1000)
In depth experience with Cisco or F5 Load balancers - Cisco GSS, ACE, F5 GTM/LTM
Experience with DHCP/DNS applications (e.g. QIP/RunIP)
Advanced troubleshooting skills on QoS technologies on both Layer 2 and Layer 3, multicast technologies
Experience with Juniper Netscreen and Palo Alto Firewalls,BlueCoat Proxies,DHCP/DNS applications (e.g. QIP/RunIP)
Strong problem solving and analytical skills, understanding of TCP/IP
hands-on experience with Network General Sniffers (e.g. Ethereal, Niksun, Riverbed SteelCentral) and a good understanding of all network protocols (e.g. TCP/IP & UDP, SNMP, FTP, TFTP, SSH, IPSec, IPSLA, NTP) 
The jobholder must be skilled in fault finding and analysis for the technologies mentioned above.  They would also need good communication and interpersonal skills in order to successfully deal with senior users.  Project management skills will be required as the jobholder will be responsible for development projects within their regional proactive operation teams.                   ","$9,000","$6,000",Monthly,Professional,Network Operations Engineer
7,16,"Accounting / Auditing / Taxation, Admin / Secretarial",MAPQ CONSULTING PTE. LTD.,"Part Time, Permanent, Full Time, Flexi work",Closing on 16 Feb 2019,East,Posted 17 Jan 2019,"Minimum 2 years of accounting experience
Knowledge of MYOB advantageous but not essential
Excellent analytical and time management skills
Prepared to be seconded in client office if required
Proficient in Microsoft Office applications
Fresh graduate with good grade will be considered ","$2,200","$1,600",Monthly,Junior Executive,Account Assistant
8,5,Engineering,WENERGY GLOBAL PTE. LTD.,Permanent,Closing on 08 Feb 2019,South,Posted 17 Jan 2019,"Competences & Capabilities
The candidates would possess capabilities and qualifications as follows: 
MUST HAVE: Minimum of a Master’s Degree in Electrical Engineering; preferably with a with a sound scientific background of (Smart) Micro-Grids and Energy Storage Systems i.e. power system engineering, including transmission and distribution networks;
Minimum of 5 years of hands-on experience in distribution and/or transmission grid design and planning, supplemented with extensive product knowledge, experience in procurement and project execution in countries in Asia;
International knowledge of the threats and opportunities of distributed generation to grid operators;
Previous experience with (distributed) renewable energy (e.g. Solar PV, Wind, Tidal) and smart grid technologies (e.g. smart metering and remote monitoring) is an added advantage;
Proficiency in modeling software (e.g. MATLAB, DIgSilent PowerFactory, Aspen DistriView, PSSE, LabView), AutoCAD is a MUST and Microsoft Office applications and excellence in reporting in English (written and oral);
Communication and interpersonal skills including the ability to work as a team member and to clearly communicate approved actions for accurate implementation;
Ability to work independently with a strong sense of initiative and pro-activism;
Ability to confidently and comfortably present technical solutions to key customers and respond in a timely manner to technical concerns and answer questions in a knowledgeable articulated manner
Location
The position is located at the WEnergy Global Headquarters in Singapore. Frequent travelling within ASEAN countries is required.
Remuneration
WEnergy Global offers internationally competitive compensation packages to its employees, including selective access to its Employees Shareholding Option Schemes.
Application and Contact
Please send us your resume and cover letter to hr@wenergyglobal.com or via mail to the address below:
WEnergy Global Pte Ltd
305 Alexandra Road #05-10
Singapore 159942
Closing Date: 8th February 2019
WEnergy Global PTE LTD has a diverse environment and is proud to be an equal opportunity employer. All qualified and experienced applicants will receive consideration for employment without regard to race/ethnicity, religion, gender, sexual orientation, national origin, disability, marital status or age.","$8,000","$6,000",Monthly,"Senior Management, Professional",Senior Power T&D Engineer
9,13,Purchasing / Merchandising,FLASH TEKK ENGINEERING PTE. LTD.,Full Time,Closing on 16 Feb 2019,West,Posted 17 Jan 2019,"Candidates with purchasing experience is preferred, but fresh Graduate is welcomed.",,,,Non-executive,Purchasing Assistant
10,21,Admin / Secretarial,INSPIRATION DESIGN INTERNATIONAL SCHOOL PTE. LTD.,Full Time,Closing on 16 Feb 2019,South,Posted 17 Jan 2019,"- Proficient in MS Office
- Highly organised and meticulous
- Resourceful, mature and independent
- Good interpersonal and communication skills
- Willing to work shifts : 10am - 7 pm / 12pm - 9pm Full time
6.30pm-9.30pm   (part Time)","$2,300","$1,600",Monthly,Non-executive,Administrative Assistant
11,3,Accounting / Auditing / Taxation,FLASH TEKK ENGINEERING PTE. LTD.,Full Time,Closing on 16 Feb 2019,West,Posted 17 Jan 2019," Diploma / ACCA / CIMA or equivalent or
· Minimum 1 years of related experience
· Experience in accounting in the relevant industry",,,,Executive,Account Executive
12,4,Sciences / Laboratory / R&D,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Full Time,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"PHD in Bio Chemistry, Chemistry or equivalent.
Deep knowledge of Bio-analysis studies
Several years’ experience as a Study Director in this field
Preferably experience of leading a team of scientists
Good written and verbal communication skills
Computer literate
Ability to work with minimum supervision and as part of a team
Good time management skills and ability to work to tight deadlines
Proven ability to problem solve
Willing to get involved with new ideas and initiatives","$20,000","$15,000",Monthly,Senior Management,Senior Study Manager
13,4,Sciences / Laboratory / R&D,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Full Time,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"Bsc in Bio Chemistry, Chemistry or equivalent.
Deep knowledge of Bio-analysis studies
Several years’ experience as a Study Director in this field
Preferably experience of leading a team of scientists
Good written and verbal communication skills
Computer literate
Ability to work with minimum supervision and as part of a team
Good time management skills and ability to work to tight deadlines
Proven ability to problem solve
Willing to get involved with new ideas and initiatives","$15,000","$10,000",Monthly,Manager,Study Manager
14,5,Customer Service,ACESIAN TECHNOLOGIES PTE. LTD.,Full Time,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"  GCE ‘O’ Level / NITEC / Higher NITEC / Diploma.
Proficient in MS office applications.
Knowledge in UBS system is advantageous.
Possess good communication, interpersonal and customer service skills.
Able to work independently and consistently maintaining and meeting timelines under minimal supervision.
Must be able to commence work within short notice.","$2,500","$2,200",Monthly,Junior Executive,Sales Coordinator
15,32,"Admin / Secretarial, Banking and Finance",GENIE FINANCIAL SERVICES PTE. LTD.,"Permanent, Full Time",Closing on 16 Feb 2019,North,Posted 17 Jan 2019,"Requirements
- Min Qualification: Diploma Holder
- Proficient in English and Mandarin (as some customers can only converse in Mandarin)
- Highly responsible & organized
- Meticulous & good with numbers/ figures
- Some relevant experience preferred

  Only applications received here will be considered: https://goo.gl/forms/ddk31eps2bAf33HE2
 ","$3,000","$2,200",Monthly,"Executive, Junior Executive",Loans Admin Officer (Automotive Tech Startup)
16,18,"Admin / Secretarial, F&B, Hospitality, Logistics / Supply Chain, Others",SIA HUAT PRIVATE LIMITED,"Permanent, Full Time",Closing on 16 Feb 2019,South,Posted 17 Jan 2019,"1 - 2 years of Warehouse & Logistics operations experience
Possess at least a Secondary School/""O"" Level, Higher Secondary Certification or equivalent.
Motivated and energetic
Good interpersonal and communication skills
Good accountability and a responsible person
Able to multi-task under fast-paced environment
Knowledge of Outlook, MS Excel and MS Word.",,,,Non-executive,Warehouse Admin Assistant
17,29,Human Resources,APPLE SOUTH ASIA PTE. LTD.,Full Time,Closing on 16 Feb 2019,South,Posted 17 Jan 2019,"Minimum of 10-15 years work experience in similar HR roles, preferably in mid-to-large size businesses, high-tech or contact centre experience is preferred
Strong command and current knowledge of PRC labor laws and regulations
Demonstrable ability to think broadly, while also dealing with detailed information and execution excellence
Ability to exercise tact and diplomacy to resolve sensitive HR issues
Strong written and verbal communications skills
Strong interpersonal skills
Ability to design and execute programs that meet the clients’ needs
Coaching, influencing, problem-solving and facilitation skills are critical
Displays integrity and ethics in handling confidential information
High proficiency in computer skills to perform routine analysis
BA/BS degree, MBA a plus
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.","$14,300","$9,500",Monthly,Executive,People Business Partner
18,7,Consulting,TOSS-EX PTE. LTD.,Contract,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"• Minimum of 6 years’ experience preferably with ECC 6.0 in logistic modules
• Strong hands on experience in EDI / ALE, ABAP proxies and Work Flow
• Strong experience on core ABAP which includes reports using ALV, dialog programming, BDC, Layout sets, LSMW and Data dictionary
• Experience in Object Oriented programming, User exits, Enhancement Points, BADIs and BAPI is a must
• Experience in IDOC Error Handling using Work Flow

 ","$6,500","$5,500",Monthly,Senior Executive,SAP / ABAP ALE-EDI
19,18,Sciences / Laboratory / R&D,NANYANG TECHNOLOGICAL UNIVERSITY,"Contract, Full Time",Closing on 16 Feb 2019,West,Posted 17 Jan 2019,"Candidates with a relevant tertiary degree, preferably with experience in higher education, are invited to apply.
Candidates who have experience managing or coordinating large scale research projects involving multiple personnel are preferred. 
We regret that only shortlisted candidates will be notified. 
 ","$4,200","$2,800",Monthly,Non-executive,Project Officer
20,1,Information Technology,COMPANY UNDISCLOSED,Full Time,Closing on 16 Feb 2019,East,Posted 17 Jan 2019,"Preferred background in Computer Science, Computer Engineering or related disciplines.
1-4 years of relevant working experience, especially in large-scale production environment.  Fresh graduates with strong Python skills are encouraged to apply.
Excellent prgramming skill in one or more scripting languages.  Python (must), Scala, Java, JavaScript. Understanding of the threading limitations of Python. and multi-process architecture.
Background in machine learning is advantageous.  Additional experience in Node JS and React Native would be great (but not necessary).
Experience in any one of the following field is highly preferred: (i)cloud computing platform (ii) database management (No SQL preferred) (iii) distributed computing/lambda architecture (iv) Sparks and HDFS
Prior startup or entrepreneurial experience would be a bonus
Can-do attitude","$8,000","$4,000",Monthly,Senior Executive,Data Platform Engineer
21,8,Information Technology,COMPANY UNDISCLOSED,Full Time,Closing on 16 Feb 2019,Islandwide,Posted 17 Jan 2019,"Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Experience using business intelligence tools and data frameworks
Analytical mind with strong business acumen and problem-solving skills
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
 ","$7,500","$6,000",Monthly,Senior Executive,DATA ANALYST
22,1,Information Technology,COMPANY UNDISCLOSED,Full Time,Closing on 16 Feb 2019,East,Posted 17 Jan 2019,"Preferred Background in Computer Science, Computer Engineering or related disciplines although not necessary. Nontraditional acquisition of knowledge is not discriminated
1-4 years of relevant working experience, especially in large-scale production environment. Fresh graduates with strong Python skills are encouraged to apply.
Excellent programming skill in one or more scripting languages: Python (must), Scala, Java, JavaScript. Understanding of the threading limitations of Python, and multi-process architecture.
Background in machine learning is advantageous. Additional experience in Node JS and React Native would be great (but not necessary).
Experience in any one of the following field is highly preferred: (i) cloud computing platform (ii) database management (NoSQL preferred) (iii) distributed computing/lambda architecture (iv) Spark and HDFS
Prior startup or entrepreneurial experience would be a bonus.
Can-do attitude","$10,000","$5,000",Monthly,Professional,Senior Software Design Engineer
23,0,"Engineering, Manufacturing",COMPANY UNDISCLOSED,Permanent,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"Bachelor of Science (or higher) in Electrical Engineering (or a related field) with at least 7 years of experience and a minimum of 5 years of experience in the data storage industry.
Hands-on experience and skill in developing algorithms, test scripts, as well as component level failure analysis of memory and error correction within a lab and/or production environment.
The capability to clearly and succinctly document requirements and drive them into future Compnay system products.
Demonstrate an understanding of the principles of computer architecture (hardware and software), including general system data integrity.
Strong leadership skills and cross-functional collaboration, including experience as a subject matter expert in the area of storage media integration.
Self-motivated and intense analytical skills, including a propensity to seek new solutions.
Willingness and capability to travel both domestic and international.","$7,000","$3,500",Monthly,Non-executive,NVE Systems Media Engineer
24,7,Banking and Finance,COMPANY UNDISCLOSED,Permanent,Closing on 16 Feb 2019,Central,Posted 17 Jan 2019,"Good degree from a recognized university.
8 to 10 working years banking experience.
1-2 years of experience in SAS programming, SQL and/or Visual Basis with strong Excel skills
1-2 years of experience in data warehousing and analytics.
Exposure to digital analytics tools and KPIs would be desired but not required.
Experience in the Retail industry or with multi-channel data desired.
Any exposure to other data analytics platforms and tools a plus.
Strong analytical skills with aptitude to work with large amounts of data.
Strong Communication skills and able to provide meaningful reports to support business decisions.
Able to multitask and meet deadlines.
 ","$14,000","$11,000",Monthly,Senior Management,"First Vice President, Digital Channel Planning & Manager"
25,10,"Healthcare / Pharmaceutical, Medical / Therapy Services",COMPANY UNDISCLOSED,"Part Time, Permanent, Freelance, Full Time, Internship",Closing on 16 Feb 2019,East,Posted 17 Jan 2019,"University graduates, majoring in biology or health sciences preferred.
At least 2 years solid working experience in sales industry.
Good communication and presentation skills.
Good spoken and written in English.
Creative and with positive attitude.
Responsible, well organized, willing to learn, hardworking and a good team player.
Strength in negotiation and problem solving and ability to interact with decision makers at all levels
Can work independently and under pressure.
Proficient in MS office.
Cheerful, positive, aggressive, responsible and a good team player.","$60,000","$20,000",Annually,"Professional, Executive, Senior Executive",Medical Sales Representative
