,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
0,0,Information Technology,LIBERTY WIRELESS PTE. LTD.,Full Time,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passionate about Technology, Telecommunications and Disruptive models
A degree in Computer Science, Computer/Electrical Engineering, Information Technology or relevant
Experience in management & integration of public cloud infrastructure (AWS)
Good experience in AWS or GCP Architecture and Services.
Ability to design applications on AWS taking advantage of disaster recovery design guideline
Experience with distributed Source Code Management (SCM) tools, e.g. Git
Experience with automation / operational provisioning tools, e.g. Ansible, Puppet or Chef
Strong scripting capabilities: bash, perl or python preferred
Integration experience with third party/open source system monitoring tools. E.g. Nagios, New Relic
Experience on Docker System
Experience on CI/CD e.g. Jenkins
Experience with ELK Stack (Elasticsearch, Logstash, Kibana)","$8,000","$5,000",Monthly,Executive,DevOps Engineer Senior
1,1,Information Technology,LIBERTY WIRELESS PTE. LTD.,Full Time,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passionate about Technology, Telecommunications and Disruptive models
A degree in Computer Science, Computer/Electrical Engineering, Information Technology or relevant
Experience in management & integration of public cloud infrastructure (AWS)
Good experience in AWS or GCP Architecture and Services.
Ability to design applications on AWS taking advantage of disaster recovery design guideline
Experience with distributed Source Code Management (SCM) tools, e.g. Git
Experience with automation / operational provisioning tools, e.g. Ansible, Puppet or Chef
Strong scripting capabilities: bash, perl or python preferred
Integration experience with third party/open source system monitoring tools. E.g. Nagios, New Relic
Experience on Docker System
Experience on CI/CD e.g. Jenkins
Experience with ELK Stack (Elasticsearch, Logstash, Kibana)","$6,000","$4,000",Monthly,Executive,DevOps Engineer
2,0,Information Technology,LIBERTY WIRELESS PTE. LTD.,Full Time,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passionate about Technology, Telecommunications and Disruptive models
A degree in Computer Science, Computer/Electrical Engineering, Information Technology or relevant
Experience in management & integration of public cloud infrastructure (AWS)
Good experience in AWS or GCP Architecture and Services.
Ability to design applications on AWS taking advantage of disaster recovery design guideline
Experience with distributed Source Code Management (SCM) tools, e.g. Git
Experience with automation / operational provisioning tools, e.g. Ansible, Puppet or Chef
Strong scripting capabilities: bash, perl or python preferred
Integration experience with third party/open source system monitoring tools. E.g. Nagios, New Relic
Experience on Docker System
Experience on CI/CD e.g. Jenkins
Experience with ELK Stack (Elasticsearch, Logstash, Kibana)","$11,000","$8,000",Monthly,Senior Executive,Senior DevOps Engineer
3,0,Information Technology,LIBERTY WIRELESS PTE. LTD.,Full Time,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passionate about Technology, Telecommunications and Disruptive models
A degree in Computer Science, Computer/Electrical Engineering, Information Technology or relevant
Experience in management & integration of public cloud infrastructure (AWS)
Good experience in AWS or GCP Architecture and Services.
Ability to design applications on AWS taking advantage of disaster recovery design guideline
Experience with distributed Source Code Management (SCM) tools, e.g. Git
Experience with automation / operational provisioning tools, e.g. Ansible, Puppet or Chef
Strong scripting capabilities: bash, perl or python preferred
Integration experience with third party/open source system monitoring tools. E.g. Nagios, New Relic
Experience on Docker System
Experience on CI/CD e.g. Jenkins
Experience with ELK Stack (Elasticsearch, Logstash, Kibana)","$8,000","$6,000",Monthly,Executive,DevOps Engineer
4,1,Engineering,LOGICALIS SINGAPORE PTE. LTD.,Full Time,Closing on 22 Feb 2019,Central,Posted 23 Jan 2019,"Minimum 3-5 years of experience in network design/deployment.
Excellent knowledge in Routing and switching, eg. BGP, OSPF, Multicast, VSS, spanning tree, MPLS L3VPN.
Good knowledge of Firewall technologies eg. IPSEC VPN, SSL VPN, IPS/IDS, Cisco ASA, Firepower, Fortigate,
Experience in wireless setup eg. Cisco WLC, Aruba
Data centre technologies, eg. Cisco Nexus VDC, VPC, FEX, VXLAN, ACI.
Good knowledge in network access control(NAC) product, eg Aruba Clearpass Policy Manager, Cisco ISE.
Excellent interpersonal & communication skills 
Possess at least a Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, or Professional Degree in Computer Science/Information Technology or equivalent
Current CCNA/CCNP qualified with related professional experience, CCIE would be an advantage.","$7,500","$5,000",Monthly,Professional,Senior Network Engineer / Manager
5,13,"Admin / Secretarial, Manufacturing",COWAY ENGINEERING & MARKETING PTE LTD,Full Time,Closing on 22 Feb 2019,North,Posted 23 Jan 2019,"1) Language skill : Bilingual
2) Compute Literacy : MS office
 ","$2,200","$1,600",Monthly,"Fresh/entry level, Non-executive",General clerk
6,11,Information Technology,COMPANY UNDISCLOSED,Full Time,Closing on 22 Feb 2019,Islandwide,Posted 23 Jan 2019,"Bachelor's Degree in Computer Science Engineering or equivalent, Experience with Computers and Networks, Leadership, Management, Staffing, Written and Verbal Communication, Interpersonal Communication, Computers, Problem Solving, Decision Making, Critical Thinking, Teamwork, Attention to Detail, Working Under Pressure, Ability to Meet Goals. Willing to work on weekends, public holidays and rotational shifts.","$6,500","$6,000",Monthly,Manager,Senior Information Technology Manager
7,4,General Management,NEP BROADCAST SOLUTIONS PTE. LTD.,Permanent,Closing on 22 Feb 2019,East,Posted 23 Jan 2019,"-BS/MS degree or comparable educational qualification
-5 years of experience in a related field
-Demonstrate ability to communicate, present and influence credibly and effectively at all level of the organization
-Self motivated and innovative out of the box thinking","$9,000","$6,000",Monthly,Manager,Strategic Planning Analyst
8,0,Information Technology,LIBERTY WIRELESS PTE. LTD.,Permanent,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passion for Technology, Telecommunications and Disruptive models
A Degree in Computer Science or Computer Engineering
3+ years of working experience in Android Programming (Java, Android SDK)
1+ years of working experience in Android NDK (C/C++, JNI, Android NDK)
A strong Java programming and design patterns foundation
Portfolio of published applications
Good communication and interpersonal communications skills
Solid experience in developing consumer facing mobile applications and integrate it with the web services
Proficient understanding of code versioning tool such as Git
Knowledge of C, C++ and VoIP technology and protocols such as SIP, SDP, RTP/RTCP, Audio/Video codec will be a plus","$8,000","$5,000",Monthly,Senior Executive,"Senior Software Engineer, Mobile Application (Android)"
9,0,Information Technology,LIBERTY WIRELESS PTE. LTD.,Permanent,Closing on 22 Feb 2019,South,Posted 23 Jan 2019,"Requirements
Passion for Technology, Telecommunications and Disruptive models
A Degree in Computer Science or Computer Engineering
Experience working  in Android Programming (Java, Android SDK)
Experience working in Android NDK (C/C++, JNI, Android NDK)
A strong Java programming and design patterns foundation
Portfolio of published applications
Good communication and interpersonal communications skills
Solid experience in developing consumer facing mobile applications and integrate it with the web services
Proficient understanding of code versioning tool such as Git
Knowledge of C, C++ and VoIP technology and protocols such as SIP, SDP, RTP/RTCP, Audio/Video codec will be a plus","$8,000","$5,000",Monthly,Executive,"Software Engineer, Mobile Application (Android)"
