,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
0,3,Engineering,WIRECARD SINGAPORE PTE. LTD.,Contract,Closing on 10 Feb 2019,South,Posted 11 Jan 2019,"Pre-Requisites
Diploma, Advanced/Higher/Graduate Diploma
At least 1 to 2 years working experience in the related field
Willing to work 12 hours rotating shift
Stand-by support is required","$5,200","$3,500",Monthly,Executive,Infrastructure Operations Engineer
1,24,Sales / Retail,GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Closing on 10 Feb 2019,South,Posted 11 Jan 2019,"Minimum qualifications:
- Bachelor's degree or equivalent practical experience.
- Experience in sales, business development and project management.
Preferred qualifications:
- Experience building relationships with C-level executives.
- Background in client relationship building, client servicing and solution-based promoting.
- Proven success in sales and/or marketing.
- Understanding of cross-functional media businesses and management operations within the digital media ecosystem.
- Excellent business acumen and problem-solving skills.","$15,400","$7,700",Monthly,Executive,"Industry Manager, Performance - Singapore"
2,3,Admin / Secretarial,APBA PTE. LTD.,"Temporary, Contract",Closing on 10 Feb 2019,Central,Posted 11 Jan 2019,"Minimum GCE ‘A’ Level / Diploma / Degree
Proficient in English
Able to work independently and an excellent team player who is task-orientated
Possess initiative and positive attitude
Proficient in Microsoft Office and has Good Excel Skills
Must be able to commit for at least 3 Months and above
Interested candidates, please forward a copy of your resume with a recent photo in word doc format to:
  vivien.khaw@apba-network.com
  We regret to inform that only shortlisted candidates will be notified
 ","$2,000","$1,500",Monthly,"Fresh/entry level, Non-executive, Junior Executive",Temp Administrative Assistants x 5 / / 3 - 6 Months / / up to $10.50 / hr
3,2,Information Technology,STMICROELECTRONICS PTE LTD,"Permanent, Full Time",Closing on 10 Feb 2019,North,Posted 11 Jan 2019,"Candidates that best fit this role should have/be: -
A Bachelor's degree or higher in Computer, Electronics Engineering or Physics
Minimally 2 years’ of experience
Required skills: Good in Linux system,  familiar with php, Mysql, perl programming languages
Preferred skills : Tcl, python
Desired skills: Experience of CAD software like Synopsys CATS, Mentor Caliber, Cadence Virtuoso
Understanding of  basic wafer manufacturing process flow
Proven ability to collaborate with local and oversea teams on projects
Good technical writing and communication skills","$6,000","$3,050",Monthly,"Professional, Executive",Mask Techno Engineer (Programming)
4,24,Purchasing / Merchandising,ZALORA SOUTH EAST ASIA PTE. LTD.,"Permanent, Full Time",Closing on 10 Feb 2019,Central,Posted 11 Jan 2019,"Requirements:
Educated to Degree level or equivalent
At least 2 years’ experience in an analytical role in retail/fashion industry
Good understanding of MS Excel (pivot tables, functions etc)
Experience with ANAPLAN is a plus
Strong communication skills
Able to work independently as well as in a team
Willingness to work in a multicultural environment
Strong interest in-, and understanding of fashion and the Asian fashion retail market
Fluency in English language","$4,000","$3,000",Monthly,Junior Executive,Junior Merchandise Planner
5,5,"Admin / Secretarial, Customer Service",APBA PTE. LTD.,"Temporary, Contract",Closing on 10 Feb 2019,Islandwide,Posted 11 Jan 2019,"GCE ‘A’ Level / Diploma / Degree
Proficient in English and a second language so as to converse effectively with different groups of customers
Excellent team player who is task-orientated
Shows initiative and possess a positive attitude
Possess Good Customer Service Skills
Proficient in Microsoft Office Words and Excel
Interested candidates, please forward a copy of your resume with a recent photo in word doc format to:
  Vivien.khaw@apba-network.com
  We regret to inform that only shortlisted candidates will be notified","$2,000","$1,500",Monthly,"Fresh/entry level, Non-executive, Junior Executive",*Immeidate Positions* Temp Admin / Customer Service / / up to $11.50 / hr
6,20,Sales / Retail,GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Closing on 10 Feb 2019,South,Posted 11 Jan 2019,"Minimum qualifications:
- BA/BS degree or equivalent practical experience.
- Experience writing SQL queries and working with data sets.
- Experience dealing directly with customers.
Preferred qualifications:
- Experience with analyzing large and complex data sets with the ability to convert them into strategic insights and compelling story-lines to drive business and client decisions.
- Ability to communicate effectively with both technical and non-technical stakeholders.
- Developed strategic and analytical skill set, with the ability to use data to drive decision-making.
- Detail-oriented with effective analytical skills, including the ability to see granular as well as big-picture issues.
- Problem solving and analysis skills, combined with developed business judgment.","$17,800","$8,900",Monthly,Executive,"Analytical Lead, Hotel Ads - Singapore"
7,2,Engineering,SUNNINGDALE PRECISION INDUSTRIES LTD,Full Time,Closing on 10 Feb 2019,West,Posted 11 Jan 2019,"Requirements:
NITEC in Manufacturing Engineering, Precision Engineering or relevant.
Knowledge and 2 to 3 years’ experience in handling measuring equipment such as CMM
Positive Team player.","$1,800","$1,500",Monthly,Non-executive,QA Technician
8,0,Engineering,SUNNINGDALE PRECISION INDUSTRIES LTD,Full Time,Closing on 10 Feb 2019,West,Posted 11 Jan 2019,"Requirements:
NITEC in Precision Machining, Tooling Technology or relevant
Familiar with mold setting and tooling design
Able to operate different types of molding machines
Able to start work immediately / short notice","$1,800","$1,500",Monthly,Non-executive,Mold Maker
9,10,Real Estate / Property Management,SB REIT MANAGEMENT PTE. LTD.,Full Time,Closing on 10 Feb 2019,North,Posted 11 Jan 2019,"Requirements:
Minimum Degree in Real Estate or equivalent qualification
Minimum 2 years of relevant analyst experience in the real estate industry
Meticulous in its work especially in processing analytical data
Excellent knowledge in Microsoft Excel, Word and PowerPoint
A team player and able to work in a fast paced environment",,,,Executive,Analyst
10,0,Sciences / Laboratory / R&D,NATIONAL UNIVERSITY OF SINGAPORE,Full Time,Closing on 10 Feb 2019,South,Posted 11 Jan 2019,"A PhD degree in relevant areas; strong system-building and management skills;  keen interests in working with emerging technologies and frameworks; good communications skill in both written and verbal English.
 ","$8,000","$5,500",Monthly,Professional,Research Fellow in Artificial Intelligence and Human Aware Decision Making
11,1,Engineering,JUST RECRUIT SINGAPORE PTE. LTD.,Full Time,Closing on 10 Feb 2019,Central,Posted 11 Jan 2019,"Job Requirements:
Ph.D./Master/Degree/Diploma in Telecommunication/Computer/Electronics/Software Engineering or related discipline.
Minimum 3 years of working experience in developing embedded software.
Strong programming skills in C and C++.
Good software debugging and documentation skill.
Good team player, self-motivated and willingness to learn.
Added advantage for the following experiences:
Man-Machine interface (MMI).
Device driver, Board Support Package (BSP).
3GPP/IETF/ETSI/ITU telecommunication protocol stack, wireless communication.
TCP/UDP/IP, Ethernet stack, VoIP, etc.
Telephony switching control involving PABX, PSTN, ISDN etc.
3GPP AT command set for User Equipment (UE).
Hands-on experience in embedded operating systems such as VxWorks, WinCE, embedded Linux, FreeRTOS, ITRON.
Sound knowledge in embedded processor architectures. Good understanding of hardware-software constraints.
  Interested candidates please email your resume to Zen Tan @ zen.tan@justrecruit.com.sg or contact me at 96808532
Zen Tan Ampeka (R1548069)
Just Recruit Singapore Pte Ltd (EA12C6295)
       ","$5,000","$4,000",Monthly,Senior Management,Senior Embedded Software Engineer
12,4,Manufacturing,JAMCO SINGAPORE PRIVATE LIMITED,Full Time,Closing on 10 Feb 2019,East,Posted 11 Jan 2019,"Diploma / Degree in the field of aviation or an equivalent discipline.
At least 2 years QA experience in an aviation company
Passed CAAS, M10 exam would be added an advantage
Knowledge of various Civil Aviation Regulations, such as SAR, EASA and FAR would be an added advantage
Able to understand and interpret engineering drawings geometrical dimensions and tolerance as well as inspection selection would be an added advantage
Strong interpersonal, analytical and communication skill
Proficiency in MS Word / Excel / PowerPoint","$2,200","$1,600",Monthly,"Fresh/entry level, Non-executive, Junior Executive",QUALITY INSPECTOR
13,1,Insurance,AAM ADVISORY PTE. LTD.,Full Time,Closing on 10 Feb 2019,Central,Posted 11 Jan 2019,"Results Driven, Persistent and good time Management Skills
Ability to provide good Customer Service
Good  Prospecting Skills,
Drive to achieve goals and sales targets
Professionalism in dealing with various types of clients
Minimum of full A-Level Certificate
Capital Markets and Financial Advisory Services (CMFAS) Examination – M5, M8, M8A, M9, M9A and Health Insurance is required. 
Any other financial planning courses will be considered as an advantage
Excellent communication and strong interpersonal skills.
English as a first language is preferred with a minimum requirement of fluent spoken English.
Confidence and quick thinking when communicating with potential clients.","$3,000","$2,000",Monthly,Non-executive,Financial Advisor
14,13,Accounting / Auditing / Taxation,BOUSTEAD SALCON WATER SOLUTIONS PTE. LTD.,Full Time,Closing on 10 Feb 2019,Central,Posted 11 Jan 2019,"Must have basic computer skills (MS office, MS project, MS word, Excel & Accpac software is a plus)
Minimum Diploma in Accountancy
Minimum 3 years of relevant experience required.","$2,500","$1,800",Monthly,Non-executive,Accounts Assistant
