,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
0,2,Information Technology,LEAP (G) PTE. LTD.,Permanent,Closing on 28 Feb 2019,Islandwide,Posted 29 Jan 2019,"Formal Education
Required: Bachelor’s degree in Computer Science or related field
Preferred: Master’s degree in Computer Science or related field, or similar postgraduate qualification
Required: Professional certification & knowledge in at least two of TOGAF, ITIL, CBCP, Project Management
Preferred: Intermediate knowledge of Cloud Computing with certification from at least one of AWS, GCP, Azure
Specialist Knowledge (Work Experience, Further Qualification)
10y+ of technical delivery and leadership experience gained from complex transition and transformation delivery projects, including: cloud, cloud migration plus two of server, virtualisation, database, applications or network
5y+ of project management experience gained from complex T&T delivery projects
Expert-level detail design for one of IaaS, PaaS or SaaS, with pre- and post-sales experience plus certification.
Intermediate-level detail design for two of IaaS, PaaS or SaaS solutions
Intermediate-level knowledge of techniques for technical project planning, scoping & program management
Intermediate-level knowledge on Cybersecurity, Business Continuity and Disaster Recovery Management
Hands-on delivery experience of large IaaS, PaaS and/or SaaS projects in the range of $1m p.a. and above
Hands on experience of conducting due diligence, leading from initial engagement to large, transformational deals supporting pre-sales and the account team
Experience of working APAC customers including Singapore, Indonesia, Australia, HK, Korea, Philippines, India
Able to scope and deliver estimation for physical, virtual and mixed projects.
Able to assist in proposal writing, including proactive proposals and RFI/RFP responses
Experience as team player with potential to lead in a demanding and high growth business
Key team member in a high growth business in APAC that has scaled greater than US$100m
Excellent written, verbal and interpersonal communication skills in a diverse and multicultural environment.
The position requires a good level of team-work and the ability to relate well with Customers and Partners","$15,000","$10,000",Monthly,Professional,Delivery Consultant
1,0,Sciences / Laboratory / R&D,A*STAR RESEARCH ENTITIES,"Contract, Full Time",Closing on 27 Feb 2019,South,Posted 29 Jan 2019,"Strong programming skills.
Expertise in mathematics, computer science, statistics, engineering, machine learning, signal processing, computational genomics, or a related field.
General quantitative intuition.
Strong publication record (postdoctoral candidates).
Strong communication skills.
The ability to work closely with clinicians and experimental biologists.
  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based
on its prevailing recruitment policies. These policies may be amended from time to time without notice.
  * We regret that only shortlisted candidates will be notified.","$9,000","$4,500",Monthly,Non-executive,GIS - Post Doctoral Fellows (Spatial Transcriptomics & Single Cell Oncology Program)
2,14,Accounting / Auditing / Taxation,BIG - FOOT LOGISTIC PTE LTD,Full Time,Closing on 28 Feb 2019,West,Posted 29 Jan 2019,"Min. LCCI Diploma
3 – 5 year of accounting experience
Exceptional time management skills.
Familiarity with basic Accounting principles.
Professional manner and strong ethical code.
Ability to multitask and remain motivated and positive.
Commitment to working efficiently and accurately.",,,,Junior Executive,Account Assistant
3,50,Sciences / Laboratory / R&D,SETSCO SERVICES PTE LTD,Full Time,Closing on 28 Feb 2019,West,Posted 29 Jan 2019,"Minimum Degree in Chemistry or any related field
Strong analytical background in chemical or any related field
Possess good management and interpersonal skills
Hands-on experience in analytical instruments' operation, maintenance and troubleshooting is advantageous
Able to work independently as well as in a team","$3,100","$2,400",Monthly,"Fresh/entry level, Executive",Assistant Chemist / Chemist
4,4,Information Technology,COMPANY UNDISCLOSED,Full Time,Closing on 28 Feb 2019,Central,Posted 29 Jan 2019,"1. Polytechnics Diploma / Bachelor Degree In Computer Engineering or Equivalence
2. CISCO CCNA and CCNP qualification would be an added advantage
3. 5 years or more network engineering in an MNC environment
4. Familiar with LAN & WAN Topologies and concepts on architectural & design level
5. Hands on experience configuring routers,switches,wireless access points
6. Familiar with the concepts of ITIL processes,incident and change management
7. Positive atitude towards changes,incidents,troubleshooting,eager to learn,highly analytical
8. Ability to document,maintain and create site level architectural networking diagrams, exhibit an attention to details.
 ","$6,000","$4,500",Monthly,Manager,Network Engineer / Manager
5,3,Information Technology,NIOMETRICS (PTE.) LTD.,Full Time,Closing on 28 Feb 2019,East,Posted 29 Jan 2019,"WHAT WE VALUE
Bachelor’s or Higher Degree in Computer Science or equivalent
Software craftsmanship
Experience with large C code bases and high-performance C programming
Familiarity with Intel’s DPDK toolkit
Familiarity with network protocols and tools such as Wireshark
Familiarity with shared memory data structures and parallel algorithms
Proficiency with Linux system & development tools","$11,000","$5,000",Monthly,Professional,High-Perfomance DPI Engineer
6,5,Information Technology,NIOMETRICS (PTE.) LTD.,Permanent,Closing on 28 Feb 2019,East,Posted 29 Jan 2019,"WHAT WE VALUE
Bachelor Degree in Computer Science or Software Engineering
Minimum 5 years experience with JavaScript, as well as Data Visualisation and charting
Ability to code custom functionality from scratch (without external libraries)
Good knowledge of the React framework","$10,000","$5,000",Monthly,Professional,UX / UI Developer
7,37,Logistics / Supply Chain,AMAZON ASIA-PACIFIC HOLDINGS PRIVATE LIMITED,Full Time,Closing on 28 Feb 2019,Central,Posted 29 Jan 2019,"Basic qualifications
· Bachelor’s degree in Supply Chain Management, Engineering, or other technical field from an accredited university or 5+ years experience
· Familiarity with Supply Chain Management concepts, e.g., forecasting, planning, optimization, and logistics
· Advanced knowledge of Excel is required
· Excellent written and verbal communication skills complemented with the ability to problem solve independently
· 3 - 5 years of work experience with the design and use of complex supply chain software systems
Preferred Qualifications
MBA and work experience in a Supply Chain field is highly desired

A successful candidate will also demonstrate:

· High attention to detail including proven ability to manage multiple, competing priorities simultaneously
· Data driven decision making mentality and sound business judgment
· Ability to think strategically and execute methodically
· Ability to work in a fast-paced environment where continuous innovation is desired
· Committed to learning and expanding professional and technical knowledge
· Demonstrated analytical and quantitative skills and ability to use hard data and metrics to back up assumptions and develop business cases
· Ability to clearly communicate data insights to others
· Willingness to roll up your sleeves and do whatever is necessary; general manager / owner mentality
· Demonstrated ability to dive deep in understanding the product, our business, and the competitive landscape
· Start-up attitude and ability to flex to help identify and solve quickly emerging opportunities",,,,Manager,"Senior Program Manager, Supply Chain"
8,4,Information Technology,AEA INTERNATIONAL HOLDINGS PTE. LTD.,"Permanent, Full Time",Closing on 28 Feb 2019,East,Posted 29 Jan 2019,"C. Job Profile
Required Skills and Knowledge
Experience in providing IT support  to the business
Hands on skill on Microsoft Windows-based OS workstation/server and MS office suite (e.g. Outlook, exchange, office etc)
Hands on skill on Microsoft Active Directory administration.
Knowledge on LAN networking, VPN, TCP/IP MS SQL Client/Server and Internet concepts and techniques.
Microsoft MCTS/MCITP/MCDST/MCSA certified an advantage.
ITIL foundation or equivalent certifications (preferred)
Expose to co-ordination activities during Major Incident process
Required Competencies
Must possess high service quality mindset and excellent communication skill across all levels; Customers/Users’ communication is a must to understand their requirements, concerns and areas of improvement in service quality.
Highly motivated - self starter
Must be self-motivated and a hands-on person with experience in Microsoft systems and office applications.
Experience in a multi-cultural environment, able to understand and accept the differences between cultures.
Ability to interact effectively with other technical and non-technical resources in a team environment.
Customer Service Oriented and ability to quickly establish comfortable & effective working relationships.
Strong oral and written technical and interpersonal communication skills including sensitivity to diverse global work culture and community.
Excellent organizational skills
Demonstrated ability to analyze and evaluate complex data and follow problem through till resolution
Ability to manage multiple tasks at one time
Ability to solve problem remotely and meet deadlines
Management of a  small team (< 10 members)
Attention to details
Required Work Experience
5 to 7 years experience in IT service desk environment with the last 2 years as a team supervisor/manager or similar capacity.
Min. 3 years experience working directly with internal/external clients.
Min. 1-2 years experience providing user support of client applications, PC/Windows network infrastructure, and custom business applications.
Experience with Microsoft OS, MS Exchange, MS Office, Active Directory, Network connectivity and VPN.
Experience in call/technical helpdesk environment providing remote support will be advantage
Required Qualifications
Bachelor Degree or Diploma in Computer Science/Engineering or equivalent experience.
Required Languages
English (high proficiency in spoken & written), any proficient 2nd language
Travel / Rotation Requirements
Work on a Shift Roster","$6,000","$5,000",Monthly,Professional,"Assistant Manager, Service Desk"
9,14,"Education and Training, Information Technology",CURTIN EDUCATION CENTRE PTE. LTD.,"Permanent, Full Time",Closing on 28 Feb 2019,Central,Posted 29 Jan 2019,"Qualifications and selection criteria:

Essential:
Demonstrated ability to meet deadlines and deal with competing priorities.
Excellent attention to detail, including proofreading and editing skills.
Demonstrated ability to relate well to students and professionals.
Ability to independently resolve routine problems and issues.
Sense of responsibility and commitment to education.
IT literacy (e.g. student information system or database, or customer relationship management systems) and experience.
Excellent communication skills 
Desirable:
Degree or equivalent (preferred).
Work experience in higher education sector, preferably in a commercial setting.","$2,800","$2,000",Monthly,Executive,Student and Academic Services Officer - Attendance
